fold,k,ratio,gen_seed,var_a,var_b,mi_real,mi_syn,mi_diff
1,2,1.0,2,composition_family,scan_rate_mV_s,0.1978387349456568,0.29906168939728517,0.10122295445162838
1,2,1.0,2,composition_family,layer_class,0.1262308376206321,0.14349994292513446,0.017269105304502347
1,2,1.0,2,scan_rate_mV_s,interlayer_A,0.13167523013698276,0.18813901856180712,0.05646378842482436
1,2,1.0,2,scan_rate_mV_s,target_cap_F_g,0.20647966880514146,0.28776251506351275,0.08128284625837129
1,2,1.0,2,scan_rate_mV_s,h2so4_M,0.1661094624487936,0.12043199059773554,-0.045677471851058055
1,2,1.0,2,scan_rate_mV_s,composition_family,0.1978387349456568,0.29906168939728517,0.10122295445162838
1,2,1.0,2,scan_rate_mV_s,scan_rate_mV_s,1.0,1.0,0.0
1,2,1.0,2,scan_rate_mV_s,layer_class,0.08806254932415215,0.06445646868022302,-0.023606080643929134
1,2,1.0,2,layer_class,interlayer_A,0.09111930885238935,0.16567224733311856,0.0745529384807292
1,2,1.0,2,layer_class,target_cap_F_g,0.09968559788496818,0.23494939451276894,0.13526379662780075
1,2,1.0,2,layer_class,h2so4_M,0.017910851905708295,0.0711950993667824,0.0532842474610741
1,2,1.0,2,layer_class,composition_family,0.1262308376206321,0.14349994292513446,0.017269105304502347
1,2,1.0,2,layer_class,scan_rate_mV_s,0.08806254932415215,0.06445646868022302,-0.023606080643929134
1,2,1.0,2,layer_class,layer_class,1.0,1.0,0.0
1,2,3.0,0,interlayer_A,interlayer_A,1.0,1.0,0.0
1,2,3.0,0,interlayer_A,target_cap_F_g,0.24599861649491667,0.12028770417952901,-0.12571091231538767
1,2,3.0,0,interlayer_A,h2so4_M,0.13012676725268765,0.0901111325287761,-0.04001563472391155
1,2,3.0,0,interlayer_A,composition_family,0.18284034185862033,0.08988364402675392,-0.09295669783186641
1,2,3.0,0,interlayer_A,scan_rate_mV_s,0.13167523013698276,0.19071798669638812,0.05904275655940536
1,2,3.0,0,interlayer_A,layer_class,0.09111930885238935,0.0726714464966607,-0.01844786235572865
1,2,3.0,0,target_cap_F_g,interlayer_A,0.24599861649491667,0.12028770417952901,-0.12571091231538767
1,2,3.0,0,target_cap_F_g,target_cap_F_g,1.0,1.0,0.0
1,2,3.0,0,target_cap_F_g,h2so4_M,0.2739375999872824,0.21379977587756582,-0.060137824109716576
1,2,3.0,0,target_cap_F_g,composition_family,0.19523576356725625,0.1563610619834216,-0.03887470158383466
1,2,3.0,0,target_cap_F_g,scan_rate_mV_s,0.20647966880514146,0.08944577903342442,-0.11703388977171704
1,2,3.0,0,target_cap_F_g,layer_class,0.09968559788496818,0.12653669671470666,0.026851098829738476
1,2,3.0,0,h2so4_M,interlayer_A,0.13012676725268765,0.0901111325287761,-0.04001563472391155
1,2,3.0,0,h2so4_M,target_cap_F_g,0.2739375999872824,0.21379977587756582,-0.060137824109716576
1,2,3.0,0,h2so4_M,h2so4_M,1.0,1.0,0.0
1,2,3.0,0,h2so4_M,composition_family,0.3022979047601231,0.15735443198419605,-0.14494347277592703
1,2,3.0,0,h2so4_M,scan_rate_mV_s,0.1661094624487936,0.09185117540803357,-0.07425828704076003
1,2,3.0,0,h2so4_M,layer_class,0.017910851905708295,0.05368162919454254,0.03577077728883425
1,2,3.0,0,composition_family,interlayer_A,0.18284034185862033,0.08988364402675392,-0.09295669783186641
1,2,3.0,0,composition_family,target_cap_F_g,0.19523576356725625,0.1563610619834216,-0.03887470158383466
1,2,3.0,0,composition_family,h2so4_M,0.3022979047601231,0.15735443198419605,-0.14494347277592703
1,2,3.0,0,composition_family,composition_family,1.0,1.0,0.0
1,2,3.0,0,composition_family,scan_rate_mV_s,0.1978387349456568,0.2230738651508164,0.025235130205159606
1,2,3.0,0,composition_family,layer_class,0.1262308376206321,0.0991622551105922,-0.027068582510039907
1,2,3.0,0,scan_rate_mV_s,interlayer_A,0.13167523013698276,0.19071798669638812,0.05904275655940536
1,2,3.0,0,scan_rate_mV_s,target_cap_F_g,0.20647966880514146,0.08944577903342442,-0.11703388977171704
1,2,3.0,0,scan_rate_mV_s,h2so4_M,0.1661094624487936,0.09185117540803357,-0.07425828704076003
1,2,3.0,0,scan_rate_mV_s,composition_family,0.1978387349456568,0.2230738651508164,0.025235130205159606
1,2,3.0,0,scan_rate_mV_s,scan_rate_mV_s,1.0,1.0,0.0
