fold,k,ratio,gen_seed,variable,type,real_pearson_with_target,syn_pearson_with_target,pearson_abs_diff,real_spearman_with_target,syn_spearman_with_target,spearman_abs_diff,sign_preserved,real_eta_squared_on_target,syn_eta_squared_on_target,eta_squared_abs_diff
3,2,1.0,2,scan_rate_mV_s,categorical,,,,,,,,0.2012353019827379,0.5057289335360357,0.3044936315532978
3,2,1.0,2,layer_class,categorical,,,,,,,,0.021605105651223984,0.20602488927093424,0.18441978361971026
3,2,3.0,0,interlayer_A,continuous,-0.10413456126725046,-0.0034448264023440433,0.10068973486490641,-0.25858446329249163,-0.24809947145663316,0.010484991835858465,True,,,
3,2,3.0,0,h2so4_M,categorical,,,,,,,,0.22741478396345396,0.3112704852352883,0.08385570127183431
3,2,3.0,0,composition_family,categorical,,,,,,,,0.01566126255814508,0.05649386079440582,0.04083259823626074
3,2,3.0,0,scan_rate_mV_s,categorical,,,,,,,,0.2012353019827379,0.16675977545819534,0.034475526524542555
3,2,3.0,0,layer_class,categorical,,,,,,,,0.021605105651223984,0.0557196227435931,0.034114517092369116
3,2,3.0,1,interlayer_A,continuous,-0.10413456126725046,-0.21030108564303074,0.10616652437578028,-0.25858446329249163,-0.3109252546525992,0.05234079136010755,True,,,
3,2,3.0,1,h2so4_M,categorical,,,,,,,,0.22741478396345396,0.29999998366247627,0.0725851996990223
3,2,3.0,1,composition_family,categorical,,,,,,,,0.01566126255814508,0.006804226068135402,0.008857036490009679
3,2,3.0,1,scan_rate_mV_s,categorical,,,,,,,,0.2012353019827379,0.3575516517650661,0.1563163497823282
3,2,3.0,1,layer_class,categorical,,,,,,,,0.021605105651223984,0.011320864086787202,0.010284241564436782
3,2,3.0,2,interlayer_A,continuous,-0.10413456126725046,-0.060255369188125525,0.04387919207912493,-0.25858446329249163,-0.21732650209594784,0.04125796119654379,True,,,
3,2,3.0,2,h2so4_M,categorical,,,,,,,,0.22741478396345396,0.1816882085907321,0.04572657537272187
3,2,3.0,2,composition_family,categorical,,,,,,,,0.01566126255814508,0.0022445941633023217,0.013416668394842759
3,2,3.0,2,scan_rate_mV_s,categorical,,,,,,,,0.2012353019827379,0.17905124572250689,0.02218405626023101
3,2,3.0,2,layer_class,categorical,,,,,,,,0.021605105651223984,0.024233495236632173,0.002628389585408189
